uuid,title,content,markerType
9645d3aa-237b-4916-9679-47c24604fb86,부서진 맨홀뚜껑,이 지역은 맨홀뚜껑이 부서져 있으니 피하세요.,RED
ff77ba26-86e5-4407-8323-163fac16ecbb,유리 조각,깨진 유리가 발견되었으니 주의하세요.,RED
92948eea-992a-4e78-8eac-04f08b1f10b1,위험한 공사 구역,진행 중인 공사로 인해 보행자에게 위험할 수 있습니다.,RED
6686c471-2b8c-4dad-bcad-101192d374c5,미끄러운 도로,이 구간은 매우 미끄러우니 조심하세요.,RED
25338e37-b762-4323-b561-4f8feb028fe3,풀린 개 주의,공격적인 풀린 개가 목격되었습니다.,RED
592749bd-b25d-4cc9-a205-04aafa84251b,가파른 절벽,"경로에 가파른 낭떠러지가 있습니다, 접근하지 마세요.",RED
f675abe1-7760-4ec2-96b5-21b17ef58d7f,차량 통행이 많은 구역,차량 통행이 많아 위험합니다.,RED
b8862db9-26e2-4a34-9722-7ee40dccd15c,위험한 횡단보도,"표시되지 않은 위험한 횡단보도입니다, 주의하세요.",RED
0b1e538e-cb9d-4a58-b48c-3914dddf70b0,얼어붙은 보도,보도가 얼어 미끄럽습니다.,RED
b8a82f38-f658-4bf9-b117-d883f204e58c,공격적인 풀린 개,이 지역에 풀린 공격적인 개들이 있습니다.,RED
d533741d-7490-425c-8a2b-55fb049b350b,공사 현장 출입 금지,"공사 현장 접근이 금지되어 있습니다, 우회하세요.",RED
dd90af93-23d9-4dab-b102-892d39d84a53,침수된 지역,이 지역은 물에 잠겨 통행이 불가능합니다.,RED
ebef225a-2d77-4ec8-b639-a48c0bc51d85,쓰러진 나무,쓰러진 나무로 인해 도로가 막혔습니다.,RED
96b1f456-3e9e-431c-8d0a-228bb39e24d9,낙석 주의 구역,"낙석이 자주 발생하는 구역입니다, 주의하세요.",RED
9d05b9f7-c1a7-4e18-b05a-672fdaa39fbf,조명이 꺼진 거리,"가로등이 꺼져 있어 밤에 어둡습니다, 조심하세요.",RED
52dff788-c84d-498f-9db6-b4b5a9200583,포트홀 주의,도로에 큰 포트홀이 있어 위험합니다.,RED
a05671ef-977a-4317-9388-6e2663f9b9b0,진흙탕 길,길이 진흙으로 덮여 미끄러질 수 있습니다.,RED
1d0713e1-cb0f-4913-9438-caf3de6b27d3,야생 동물 출몰 지역,이 지역에서 야생 동물이 자주 목격됩니다.,RED
5ad7681b-2ea9-4e55-9b98-5b76cc2ed1f5,불법 쓰레기 투기 지역,쓰레기가 쌓여 있어 위험할 수 있습니다.,RED
46e91ad0-3eef-460c-b518-f22dc78d17bf,연기 및 화재 주의,"연기나 화재의 징후가 있습니다, 피해가세요.",RED
d41b081c-806c-4c84-870b-d5d6ac2553e0,전봇대 넘어짐,전봇대가 넘어졌으니 우회하십시오.,RED
7fa423c9-b654-48d8-9856-71e52c2262df,도로 공사 중,"이 도로는 공사 중입니다, 다른 경로를 이용하세요.",RED
828ff142-3fdd-4b6a-9252-61f64b2ac4f8,전선 낙하 주의,전선이 떨어질 수 있으니 주의하세요.,RED
d1af3bec-c765-4c0d-ad36-7972873fa89a,폭우로 인한 위험,폭우로 인해 위험이 예상됩니다.,RED
c728d25d-83c8-4abc-843c-446be571af92,천둥 번개 주의,천둥과 번개로 인한 위험이 있습니다.,RED
8299dd09-17c1-4a89-88eb-ecd207e4fdb5,차량 사고 잦은 구역,"이 구역에서는 차량 사고가 자주 발생합니다, 주의하세요.",RED
c5060558-c90e-467e-9533-0ae4bbfa24ee,길가 공사 중,이곳에서 공사가 진행 중이니 피해 가세요.,RED
be4c84dd-33c6-4361-a34a-132e6e17839c,고압 전선 근처,고압 전선이 근처에 있어 위험할 수 있습니다.,RED
3a48aa87-82bd-4b0a-b1e9-2984c6a42687,낮은 교각 주의,이 구역은 교각이 낮아 큰 차량은 주의하세요.,RED
99233a01-4dd3-42eb-9205-de75260f6972,추락 위험 구역,낭떠러지 근처라 추락 위험이 있습니다.,RED
7bc54ca3-46f9-4581-970e-9a80251fb76f,야생 동물 먹이 구역,야생 동물이 자주 출몰하니 조심하세요.,RED
6701234f-d1d1-4b9a-9de2-0973499303b3,도로 균열 발생,이 도로에 균열이 발생했습니다.,RED
cf79d868-7365-46be-af19-60723e49b63a,빗물 고인 구역,빗물이 고여 미끄러울 수 있습니다.,RED
d85c5621-a194-4dc7-aa6c-b839c81772bb,낮은 나무 가지 주의,나무 가지가 낮게 드리워져 있으니 주의하세요.,RED
ada8611f-c7e3-4346-9c6e-04219db5968b,교통 표지판 고장,교통 표지판이 고장났으니 주의가 필요합니다.,RED
b4699e15-c12e-4b25-958d-c0ee16483f73,바닥에 나사 조각,바닥에 나사 조각이 떨어져 있으니 조심하세요.,RED
90a6cdbc-3e58-499e-9d69-330d4a5d94d4,화재 경고 지역,화재가 발생할 수 있으니 주의하세요.,RED
